CIK,cusip,ACCESSION_NUMBER,companyName,value,shares,cusip6,reportCalendarOrQuarter,managerName,managerAddress
1326801,30303M102,0001398344-23-022980,FACEBOOK CL A,493338,1675,30303M,31-MAR-2021,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001007280-23-000013,Meta Platforms Inc-Clas,350132000,1166289,30303M,30-SEP-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1326801,30303M102,0001007280-23-000012,Meta Platforms Inc-Clas,358862000,1250476,30303M,30-JUN-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1326801,30303M102,0001007280-23-000011,Meta Platforms Inc-Clas,280901000,1325378,30303M,31-MAR-2023,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1326801,30303M102,0001007280-23-000010,Meta Platforms Inc-Clas,162741000,1352343,30303M,31-DEC-2022,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,"277 E TOWN ST, COLUMBUS, OH, 43215"
1326801,30303M102,0001398344-23-022879,FACEBOOK CL A,293636,1821,30303M,30-JUN-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-022880,FACEBOOK CL A,409809,1843,30303M,31-MAR-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-022881,FACEBOOK CL A,229842,1694,30303M,30-SEP-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-022864,FACEBOOK CL A,464425,1547,30303M,30-SEP-2023,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-022863,FACEBOOK CL A,328083,1548,30303M,31-MAR-2023,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-022861,FACEBOOK CL A,438218,1527,30303M,30-JUN-2023,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001398344-23-022860,FACEBOOK CL A,197478,1641,30303M,31-DEC-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
1326801,30303M102,0001540656-23-000021,META PLATFORMS INC,4681475,15594,30303M,30-SEP-2023,Gladius Capital Management LP,"233 SOUTH WACKER DRIVE, SUITE 5725, CHICAGO, IL, 60606"
1326801,30303M102,0001540656-23-000015,META PLATFORMS INC,369083,3067,30303M,31-DEC-2022,Gladius Capital Management LP,"233 SOUTH WACKER DRIVE, SUITE 5725, CHICAGO, IL, 60606"
1326801,30303M102,0001104659-23-126756,META PLATFORMS INC,52207394412,173902916,30303M,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1326801,30303M102,0001104659-23-126756,META PLATFORMS INC,512358500,1706667,30303M,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1326801,30303M102,0001104659-23-126756,META PLATFORMS INC,280179989,933280,30303M,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1326801,30303M102,0001104659-23-126756,META PLATFORMS INC,1913237730,6372998,30303M,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1326801,30303M102,0001104659-23-126756,META PLATFORMS INC,98229913,327204,30303M,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1326801,30303M102,0001104659-23-126756,META PLATFORMS INC,519664,1731,30303M,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
1326801,30303M102,0001845199-23-000004,Meta Platforms Inc,36926,123,30303M,30-SEP-2023,CoreFirst Bank & Trust,"3035 SW TOPEKA BLVD, TOPEKA, KS, 66611"
1326801,30303M102,0001845199-23-000004,Meta Platforms Inc,75653,252,30303M,30-SEP-2023,CoreFirst Bank & Trust,"3035 SW TOPEKA BLVD, TOPEKA, KS, 66611"
1326801,30303M102,0001803296-23-000004,META PLATFORMS INC,1138095,3791,30303M,30-SEP-2023,"WNY Asset Management, LLC","6500 Sheridan Drive, Suite 200, Williamsville, NY, 14221"
1326801,30303M102,0001172661-23-004083,META PLATFORMS INC,353979,1164,30303M,30-SEP-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1326801,30303M102,0001172661-23-004083,META PLATFORMS INC,31702176,105600,30303M,30-SEP-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1326801,30303M102,0001172661-23-004083,META PLATFORMS INC,74722269,248900,30303M,30-SEP-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1326801,30303M102,0001172661-23-004082,META PLATFORMS INC,78266,278,30303M,30-JUN-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1326801,30303M102,0001172661-23-004082,META PLATFORMS INC,23618454,82300,30303M,30-JUN-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1326801,30303M102,0001172661-23-004082,META PLATFORMS INC,3300270,11500,30303M,30-JUN-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1326801,30303M102,0001172661-23-004081,META PLATFORMS INC,585693,2818,30303M,31-MAR-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1326801,30303M102,0001172661-23-004081,META PLATFORMS INC,29311302,138300,30303M,31-MAR-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1326801,30303M102,0001172661-23-004081,META PLATFORMS INC,6464170,30500,30303M,31-MAR-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1326801,30303M102,0001172661-23-004080,META PLATFORMS INC,10746362,89300,30303M,31-DEC-2022,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1326801,30303M102,0001172661-23-004080,META PLATFORMS INC,385088,3200,30303M,31-DEC-2022,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1326801,30303M102,0001172661-23-004080,META PLATFORMS INC,4099304,34087,30303M,31-DEC-2022,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
1326801,30303M102,0000315032-23-000030,META PLATFORMS INC,605288806,2016218,30303M,30-SEP-2023,STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,"ONE STATE FARM PLAZA, BLOOMINGTON, IL, 61710"
1326801,30303M102,0000315032-23-000029,META PLATFORMS INC,578614242,2016218,30303M,30-JUN-2023,STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,"ONE STATE FARM PLAZA, BLOOMINGTON, IL, 61710"
1326801,30303M102,0000315032-23-000028,META PLATFORMS INC,427317243,2016218,30303M,31-MAR-2023,STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,"ONE STATE FARM PLAZA, BLOOMINGTON, IL, 61710"
1326801,30303M102,0000315032-23-000027,META PLATFORMS INC,242631674,2016218,30303M,31-DEC-2022,STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,"ONE STATE FARM PLAZA, BLOOMINGTON, IL, 61710"
1326801,30303M102,0001172661-23-004079,META PLATFORMS INC,348187955,1213283,30303M,30-JUN-2023,Polar Capital Holdings Plc,"16 Palace Street, London, X0, SW1E 5JD"
1326801,30303M102,0001172661-23-004078,META PLATFORMS INC,203381015,959616,30303M,31-MAR-2023,Polar Capital Holdings Plc,"16 Palace Street, London, X0, SW1E 5JD"
1326801,30303M102,0001846532-23-000030,META PLATFORMS INC,3279033,11426,30303M,30-JUN-2023,"Continuum Advisory, LLC","873 E. STATE STREET, EAGLE, ID, 83616"
1326801,30303M102,0001846532-23-000029,META PLATFORMS INC,2658575,12544,30303M,31-MAR-2023,"Continuum Advisory, LLC","873 E. STATE STREET, EAGLE, ID, 83616"
1326801,30303M102,0001846532-23-000028,META PLATFORMS INC,1583915,13162,30303M,31-DEC-2022,"Continuum Advisory, LLC","873 E. STATE STREET, EAGLE, ID, 83616"
1326801,30303M102,0001846532-23-000027,META PLATFORMS INC,2253000,16605,30303M,30-SEP-2022,"Continuum Advisory, LLC","873 E. STATE STREET, EAGLE, ID, 83616"
1326801,30303M102,0001846532-23-000026,META PLATFORMS INC,3082000,19113,30303M,30-JUN-2022,"Continuum Advisory, LLC","873 E. STATE STREET, EAGLE, ID, 83616"
1326801,30303M102,0001846532-23-000025,META PLATFORMS INC,2859000,14261,30303M,31-MAR-2022,"Continuum Advisory, LLC","873 E. STATE STREET, EAGLE, ID, 83616"
1326801,30303M102,0001846532-23-000024,META PLATFORMS INC,2224000,6613,30303M,31-DEC-2021,"Continuum Advisory, LLC","873 E. STATE STREET, EAGLE, ID, 83616"
1326801,30303M102,0001846532-23-000023,FACEBOOK INC,2023000,5960,30303M,30-SEP-2021,"Continuum Advisory, LLC","873 E. STATE STREET, EAGLE, ID, 83616"
1326801,30303M102,0001846532-23-000022,FACEBOOK INC,2101000,6042,30303M,30-JUN-2021,"Continuum Advisory, LLC","873 E. STATE STREET, EAGLE, ID, 83616"
1326801,30303M102,0000714142-23-000004,FACEBOOK INC,44270,147464,30303M,30-SEP-2023,TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,"479 VERSAILLES ROAD, FRANKFORT, KY, 40601"
1326801,30303M102,0000714142-23-000004,FACEBOOK INC,13127,43725,30303M,30-SEP-2023,TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,"479 VERSAILLES ROAD, FRANKFORT, KY, 40601"
1326801,30303M102,0000714142-23-000004,FACEBOOK INC,6078,20246,30303M,30-SEP-2023,TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,"479 VERSAILLES ROAD, FRANKFORT, KY, 40601"
1326801,30303M102,0000714142-23-000004,FACEBOOK INC,42,141,30303M,30-SEP-2023,TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,"479 VERSAILLES ROAD, FRANKFORT, KY, 40601"
1326801,30303M102,0000714142-23-000004,FACEBOOK INC,1008,3359,30303M,30-SEP-2023,TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,"479 VERSAILLES ROAD, FRANKFORT, KY, 40601"
1326801,30303M102,0000714142-23-000004,FACEBOOK INC,47385,157840,30303M,30-SEP-2023,TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,"479 VERSAILLES ROAD, FRANKFORT, KY, 40601"
1326801,30303M102,0000714142-23-000004,FACEBOOK INC,24118,80336,30303M,30-SEP-2023,TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,"479 VERSAILLES ROAD, FRANKFORT, KY, 40601"
1326801,30303M102,0000850529-23-000012,META PLATFORMS INC CL A,1401488681,4883576,30303M,30-JUN-2023,"Fisher Asset Management, LLC","5525 NW FISHER CREEK DRIVE, CAMAS, WA, 98607"
1326801,30303M102,0000850529-23-000011,META PLATFORMS INC CL A,1008485665,4758354,30303M,31-MAR-2023,"Fisher Asset Management, LLC","5525 NW FISHER CREEK DRIVE, CAMAS, WA, 98607"
1326801,30303M102,0001894164-23-000012,FACEBOOK INC CL A,205191,715,30303M,30-JUN-2023,"Burns Matteson Capital Management, LLC","42 EAST MARKET STREET, CORNING, NY, 14830"
