CIK,cusip,ACCESSION_NUMBER,companyName,value,shares,cusip6,reportCalendarOrQuarter,managerName,managerAddress
21344,191216100,0001398344-23-022881,COCA COLA CO COM,10936300,195221,191216,30-SEP-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001398344-23-022864,COCA COLA CO COM,10640698,190080,191216,30-SEP-2023,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001398344-23-022863,COCA COLA CO COM,11853582,191094,191216,31-MAR-2023,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001398344-23-022861,COCA COLA CO COM,11215093,186235,191216,30-JUN-2023,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001398344-23-022860,COCA COLA CO COM,12368796,194447,191216,31-DEC-2022,WEST PACES ADVISORS INC.,"3284 NORTHSIDE PARKWAY, SUITE 485, ATLANTA, GA, 30327"
21344,191216100,0001540656-23-000021,COCA COLA CO,3172779,56677,191216,30-SEP-2023,Gladius Capital Management LP,"233 SOUTH WACKER DRIVE, SUITE 5725, CHICAGO, IL, 60606"
21344,191216100,0001540656-23-000019,COCA COLA CO,3224119,53539,191216,30-JUN-2023,Gladius Capital Management LP,"233 SOUTH WACKER DRIVE, SUITE 5725, CHICAGO, IL, 60606"
21344,191216100,0001540656-23-000017,COCA COLA CO,265551,4281,191216,31-MAR-2023,Gladius Capital Management LP,"233 SOUTH WACKER DRIVE, SUITE 5725, CHICAGO, IL, 60606"
21344,191216100,0001540656-23-000015,COCA COLA CO,362514,5699,191216,31-DEC-2022,Gladius Capital Management LP,"233 SOUTH WACKER DRIVE, SUITE 5725, CHICAGO, IL, 60606"
21344,191216100,0001104659-23-126756,COCA COLA CO,19804309217,353774727,191216,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
21344,191216100,0001104659-23-126756,COCA COLA CO,158358351,2828838,191216,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
21344,191216100,0001104659-23-126756,COCA COLA CO,96763221,1728532,191216,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
21344,191216100,0001104659-23-126756,COCA COLA CO,663520584,11852815,191216,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
21344,191216100,0001104659-23-126756,COCA COLA CO,33419556,596991,191216,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
21344,191216100,0001104659-23-126756,COCA COLA CO,1003497,17926,191216,30-SEP-2023,VANGUARD GROUP INC,"Po Box 2600, V26, Valley Forge, PA, 19482-2600"
21344,191216100,0001845199-23-000004,Coca Cola Co,1218629,21769,191216,30-SEP-2023,CoreFirst Bank & Trust,"3035 SW TOPEKA BLVD, TOPEKA, KS, 66611"
21344,191216100,0001803296-23-000004,COCA COLA CO,590623,10551,191216,30-SEP-2023,"WNY Asset Management, LLC","6500 Sheridan Drive, Suite 200, Williamsville, NY, 14221"
21344,191216100,0001172661-23-004083,COCA COLA CO,85055,1524,191216,30-SEP-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
21344,191216100,0001172661-23-004083,COCA COLA CO,834102,14900,191216,30-SEP-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
21344,191216100,0001172661-23-004083,COCA COLA CO,190332,3400,191216,30-SEP-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
21344,191216100,0001172661-23-004082,COCA COLA CO,746728,12400,191216,30-JUN-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
21344,191216100,0001172661-23-004082,COCA COLA CO,120440,2000,191216,30-JUN-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
21344,191216100,0001172661-23-004081,COCA COLA CO,30678,496,191216,31-MAR-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
21344,191216100,0001172661-23-004081,COCA COLA CO,1159961,18700,191216,31-MAR-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
21344,191216100,0001172661-23-004081,COCA COLA CO,148872,2400,191216,31-MAR-2023,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
21344,191216100,0001172661-23-004080,COCA COLA CO,324411,5100,191216,31-DEC-2022,"One River Asset Management, LLC","2200 Atlantic Street, Suite 310, Stamford, CT, 06902"
