CIK,cusip,ACCESSION_NUMBER,companyName,value,shares,cusip6,reportCalendarOrQuarter,managerName,managerAddress
1652044,02079K107,0001708828-23-000019,ALPHABET INC,11867,90000,02079K,30-SEP-2023,CLEAR STREET LLC,"4 WORLD TRADE CENTER, 150 GREENWICH STRE, 45TH FLOOR, NEW YORK, NY, 10007"
1652044,02079K107,0001708828-23-000019,ALPHABET INC,11867,90000,02079K,30-SEP-2023,CLEAR STREET LLC,"4 WORLD TRADE CENTER, 150 GREENWICH STRE, 45TH FLOOR, NEW YORK, NY, 10007"
1652044,02079K107,0001483467-23-000002,ALPHABET INC,237330,1800,02079K,30-SEP-2023,"Westover Capital Advisors, LLC","1013 CENTRE RD., SUITE 405, WILMINGTON, DE, 19805"
1652044,02079K107,0001527641-23-000007,ALPHABET INC,4725289,35838,02079K,30-SEP-2023,"MATHER GROUP, LLC.","353 N. CLARK STREET, SUITE 2775, CHICAGO, IL, 60654"
1652044,02079K107,0000893838-23-000068,ALPHABET INC CLASS C,393148,2981784,02079K,30-SEP-2023,BESSEMER GROUP INC,"100 WOODBRIDGE CENTER DRIVE, WOODBRIDGE, NJ, 07095-1195"
1652044,02079K107,0000893838-23-000068,ALPHABET INC CLASS C,2266,17186,02079K,30-SEP-2023,BESSEMER GROUP INC,"100 WOODBRIDGE CENTER DRIVE, WOODBRIDGE, NJ, 07095-1195"
1652044,02079K107,0000893838-23-000068,ALPHABET INC CLASS C,24256,183965,02079K,30-SEP-2023,BESSEMER GROUP INC,"100 WOODBRIDGE CENTER DRIVE, WOODBRIDGE, NJ, 07095-1195"
1652044,02079K107,0000893838-23-000068,ALPHABET INC CLASS C,727174,5515161,02079K,30-SEP-2023,BESSEMER GROUP INC,"100 WOODBRIDGE CENTER DRIVE, WOODBRIDGE, NJ, 07095-1195"
1652044,02079K107,0000893838-23-000068,ALPHABET INC CLASS C,770,5840,02079K,30-SEP-2023,BESSEMER GROUP INC,"100 WOODBRIDGE CENTER DRIVE, WOODBRIDGE, NJ, 07095-1195"
1652044,02079K107,0000893838-23-000068,ALPHABET INC CLASS C,28045,212700,02079K,30-SEP-2023,BESSEMER GROUP INC,"100 WOODBRIDGE CENTER DRIVE, WOODBRIDGE, NJ, 07095-1195"
1652044,02079K107,0000893838-23-000068,ALPHABET INC CLASS C,120468,913675,02079K,30-SEP-2023,BESSEMER GROUP INC,"100 WOODBRIDGE CENTER DRIVE, WOODBRIDGE, NJ, 07095-1195"
1652044,02079K107,0000893838-23-000068,ALPHABET INC CLASS C,6999,53082,02079K,30-SEP-2023,BESSEMER GROUP INC,"100 WOODBRIDGE CENTER DRIVE, WOODBRIDGE, NJ, 07095-1195"
1652044,02079K107,0000893838-23-000068,ALPHABET INC CLASS C,19354,146788,02079K,30-SEP-2023,BESSEMER GROUP INC,"100 WOODBRIDGE CENTER DRIVE, WOODBRIDGE, NJ, 07095-1195"
1652044,02079K107,0000893838-23-000068,ALPHABET INC CLASS C,605,4590,02079K,30-SEP-2023,BESSEMER GROUP INC,"100 WOODBRIDGE CENTER DRIVE, WOODBRIDGE, NJ, 07095-1195"
1652044,02079K107,0000893838-23-000068,ALPHABET INC CLASS C,25787,195579,02079K,30-SEP-2023,BESSEMER GROUP INC,"100 WOODBRIDGE CENTER DRIVE, WOODBRIDGE, NJ, 07095-1195"
1652044,02079K107,0000893838-23-000068,ALPHABET INC CLASS C,10033,76091,02079K,30-SEP-2023,BESSEMER GROUP INC,"100 WOODBRIDGE CENTER DRIVE, WOODBRIDGE, NJ, 07095-1195"
1652044,02079K107,0001055980-23-000008,ALPHABET INC,17605931,133530,02079K,30-SEP-2023,"Ameritas Investment Partners, Inc.","5945 R Street, Lincoln, NE, 68505"
1652044,02079K107,0001055980-23-000008,ALPHABET INC,5437014,41236,02079K,30-SEP-2023,"Ameritas Investment Partners, Inc.","5945 R Street, Lincoln, NE, 68505"
1652044,02079K107,0001055980-23-000008,ALPHABET INC,9901935,75100,02079K,30-SEP-2023,"Ameritas Investment Partners, Inc.","5945 R Street, Lincoln, NE, 68505"
1652044,02079K107,0001765380-23-000232,ALPHABET INC CAP STK CL C,6700683,50821,02079K,30-SEP-2023,"Edge Capital Group, LLC","3333 RIVERWOOD PARKWAY, SUITE 350, ATLANTA, GA, 30339"
1652044,02079K107,0001172661-23-003771,ALPHABET INC,206741,1568,02079K,30-SEP-2023,"Paragon Private Wealth Management, LLC","300 W. Vine Street, Suite 2201, Lexington, KY, 40507"
1652044,02079K107,0001172661-23-003770,ALPHABET INC,1302678,9880,02079K,30-SEP-2023,Granger Management LLC,"17 State Street, New York, NY, 10004"
1652044,02079K107,0001632965-23-000005,ALPHABET INC,19907636,150987,02079K,30-SEP-2023,Private Advisory Group LLC,"16880 NE 79TH STREET, REDMOND, WA, 98052"
1652044,02079K107,0001172661-23-003765,ALPHABET INC,7654552,58055,02079K,30-SEP-2023,Gouws Capital LLC,"15720 Brixham Hill Avenue, Suite 300, Charlotte, NC, 28277"
1652044,02079K107,0001214717-23-000020,ALPHABET INC-CL C,13014782667,98950630,02079K,30-SEP-2023,"GEODE CAPITAL MANAGEMENT, LLC","100 SUMMER STREET, 12TH FLOOR, BOSTON, MA, 02110"
1652044,02079K107,0001839851-23-000005,ALPHABET INC,25578900,194000,02079K,30-SEP-2023,"IVY LANE CAPITAL MANAGEMENT, LLC","231 W. KINGS WAY, STE. 200, WINTER PARK, FL, 32789"
1652044,02079K107,0001398344-23-020479,ALPHABET INC,37507238,284469,02079K,30-SEP-2023,MEEDER ASSET MANAGEMENT INC,"6125 MEMORIAL DRIVE, DUBLIN, OH, 43017"
1652044,02079K107,0001954242-23-000004,Alphabet Inc. Class                  C,730204,5538,02079K,30-SEP-2023,"Ethos Financial Group, LLC","2200 RENAISSANCE BOULEVARD, SUITE 350, KING OF PRUSSIA, PA, 19406"
1652044,02079K107,0001725547-23-001970,ALPHABET INC,1208904,1208904,02079K,30-SEP-2023,"GFG Capital, LLC","701 BRICKELL AVENUE, SUITE 1400, MIAMI, FL, 33131"
1652044,02079K107,0001013594-23-000908,ALPHABET INC,5391432,41200,02079K,30-SEP-2023,"CORSAIR CAPITAL MANAGEMENT, L.P.","366 MADISON AVENUE, 12TH FLOOR, NEW YORK, NY, 10017"
1652044,02079K107,0001731169-23-000005,ALPHABET INC,3670414,27872,02079K,30-SEP-2023,"Financial Partners Group, Inc","10925 ANTIOCH STE 100, OVERLAND PARK, KS, 66210"
1652044,02079K107,0001221073-23-000083,ALPHABET INC,330659,2507,02079K,30-SEP-2023,"Barry Investment Advisors, LLC","128 UNION STREET, SUITE 507, NEW BEDFORD, MA, 02740"
1652044,02079K107,0001221073-23-000082,ALPHABET INC,5810630,44070,02079K,30-SEP-2023,"Moran Wealth Management, LLC","5801 PELICAN BAY BLVD, SUITE 110, NAPLES, FL, 34108"
1652044,02079K107,0001172661-23-003761,ALPHABET INC,3409245,25857,02079K,30-SEP-2023,"EVOKE WEALTH, LLC","10635 Santa Monica Boulevard, Suite 240, Los Angeles, CA, 90025"
1652044,02079K107,0001104659-23-116942,Alphabet Inc Class C,7649937,58020,02079K,30-SEP-2023,CITIZENS & NORTHERN CORP,"90-92 Main St, Wellsboro, PA, 16901"
1652044,02079K107,0001725547-23-001968,ALPHABET INC,44987220,341200,02079K,30-SEP-2023,"CAPSTONE INVESTMENT ADVISORS, LLC","7 WORLD TRADE CENTER, 250 GREENWICH STREET, 32ND FLOOR, NEW YORK, NY, 10007"
1652044,02079K107,0001725547-23-001968,ALPHABET INC,179395110,1360600,02079K,30-SEP-2023,"CAPSTONE INVESTMENT ADVISORS, LLC","7 WORLD TRADE CENTER, 250 GREENWICH STREET, 32ND FLOOR, NEW YORK, NY, 10007"
1652044,02079K107,0001725547-23-001968,ALPHABET INC,19302708,146399,02079K,30-SEP-2023,"CAPSTONE INVESTMENT ADVISORS, LLC","7 WORLD TRADE CENTER, 250 GREENWICH STREET, 32ND FLOOR, NEW YORK, NY, 10007"
1652044,02079K107,0000072971-23-000186,ALPHABET INC,960324150,7283460,02079K,30-SEP-2023,WELLS FARGO & COMPANY/MN,"420 MONTGOMERY STREET, SAN FRANCISCO, CA, 94163"
1652044,02079K107,0000072971-23-000186,ALPHABET INC,1753605,13300,02079K,30-SEP-2023,WELLS FARGO & COMPANY/MN,"420 MONTGOMERY STREET, SAN FRANCISCO, CA, 94163"
1652044,02079K107,0000072971-23-000186,ALPHABET INC,17357657,131647,02079K,30-SEP-2023,WELLS FARGO & COMPANY/MN,"420 MONTGOMERY STREET, SAN FRANCISCO, CA, 94163"
1652044,02079K107,0000072971-23-000186,ALPHABET INC,52740,400,02079K,30-SEP-2023,WELLS FARGO & COMPANY/MN,"420 MONTGOMERY STREET, SAN FRANCISCO, CA, 94163"
1652044,02079K107,0000072971-23-000186,ALPHABET INC,1261805,9570,02079K,30-SEP-2023,WELLS FARGO & COMPANY/MN,"420 MONTGOMERY STREET, SAN FRANCISCO, CA, 94163"
1652044,02079K107,0000072971-23-000186,ALPHABET INC,15835185,120100,02079K,30-SEP-2023,WELLS FARGO & COMPANY/MN,"420 MONTGOMERY STREET, SAN FRANCISCO, CA, 94163"
1652044,02079K107,0000072971-23-000186,ALPHABET INC,840550891,6375054,02079K,30-SEP-2023,WELLS FARGO & COMPANY/MN,"420 MONTGOMERY STREET, SAN FRANCISCO, CA, 94163"
1652044,02079K107,0000072971-23-000186,ALPHABET INC,374754672,2842280,02079K,30-SEP-2023,WELLS FARGO & COMPANY/MN,"420 MONTGOMERY STREET, SAN FRANCISCO, CA, 94163"
1652044,02079K107,0000072971-23-000186,ALPHABET INC,293955912,2229472,02079K,30-SEP-2023,WELLS FARGO & COMPANY/MN,"420 MONTGOMERY STREET, SAN FRANCISCO, CA, 94163"
1652044,02079K107,0000072971-23-000186,ALPHABET INC,4482900,34000,02079K,30-SEP-2023,WELLS FARGO & COMPANY/MN,"420 MONTGOMERY STREET, SAN FRANCISCO, CA, 94163"
1652044,02079K107,0001013594-23-000907,ALPHABET INC,9249278,70150,02079K,30-SEP-2023,"DCF Advisers, LLC","73 ARCH STREET, GREENWICH, CT, 06830"
1652044,02079K107,0001376474-23-000483,ALPHABET INC,512237,3885,02079K,30-SEP-2023,New Millennium Group LLC,"10050 SOUTH STATE STREET, SANDY, UT, 84070"
1652044,02079K107,0001376474-23-000483,ALPHABET INC,476374,3613,02079K,30-SEP-2023,New Millennium Group LLC,"10050 SOUTH STATE STREET, SANDY, UT, 84070"
1652044,02079K107,0001376474-23-000483,ALPHABET INC,98096,744,02079K,30-SEP-2023,New Millennium Group LLC,"10050 SOUTH STATE STREET, SANDY, UT, 84070"
1652044,02079K107,0001376474-23-000483,ALPHABET INC,90581,687,02079K,30-SEP-2023,New Millennium Group LLC,"10050 SOUTH STATE STREET, SANDY, UT, 84070"
1652044,02079K107,0001376474-23-000483,ALPHABET INC,205159,1556,02079K,30-SEP-2023,New Millennium Group LLC,"10050 SOUTH STATE STREET, SANDY, UT, 84070"
1652044,02079K107,0001376474-23-000483,ALPHABET INC,39028,296,02079K,30-SEP-2023,New Millennium Group LLC,"10050 SOUTH STATE STREET, SANDY, UT, 84070"
1652044,02079K107,0001376474-23-000483,ALPHABET INC,2901,22,02079K,30-SEP-2023,New Millennium Group LLC,"10050 SOUTH STATE STREET, SANDY, UT, 84070"
1652044,02079K107,0001451623-23-000004,ALPHABET INC,227,1719,02079K,30-SEP-2023,BENJAMIN EDWARDS INC,"ONE NORTH BRENTWOOD BOULEVARD, SUITE 850, Clayton, MO, 63105"
