CIK,cusip,ACCESSION_NUMBER,companyName,value,shares,cusip6,reportCalendarOrQuarter,managerName,managerAddress
1437107,934423104,0000950123-23-009938,WARNER BRO,354883,32678,934423,30-SEP-2023,"PNC Financial Services Group, Inc.","The Tower at PNC Plaza, 300 Fifth Avenue, Pittsburgh, PA, 15222-2401"
1437107,934423104,0001842296-23-000004,Warner Bros Discovery Inc,287,26455,934423,30-SEP-2023,"E Fund Management Co., Ltd.","40-43/F, BANK OF GUANGZHOU SQUARE,, NO.30 EAST ZHUJIANG ROAD,TIANHE DISTRICT, GUANGZHOU, F4, 510620"
1437107,934423104,0000950123-23-009928,WARNER BROS  DISCOVERY  INC ,196054,18340,934423,30-SEP-2023,"Russell Investments Group, Ltd.","1301 Second Avenue, 18th Floor, Seattle, WA, 98101"
1437107,934423104,0000950123-23-009928,WARNER BROS  DISCOVERY  INC ,3282033,302213,934423,30-SEP-2023,"Russell Investments Group, Ltd.","1301 Second Avenue, 18th Floor, Seattle, WA, 98101"
1437107,934423104,0000950123-23-009928,WARNER BROS  DISCOVERY  INC ,1087596,100147,934423,30-SEP-2023,"Russell Investments Group, Ltd.","1301 Second Avenue, 18th Floor, Seattle, WA, 98101"
1437107,934423104,0000950123-23-009928,WARNER BROS  DISCOVERY  INC ,4974184,458028,934423,30-SEP-2023,"Russell Investments Group, Ltd.","1301 Second Avenue, 18th Floor, Seattle, WA, 98101"
1437107,934423104,0000950123-23-009928,WARNER BROS  DISCOVERY  INC ,307088,28277,934423,30-SEP-2023,"Russell Investments Group, Ltd.","1301 Second Avenue, 18th Floor, Seattle, WA, 98101"
1437107,934423104,0000950123-23-009928,WARNER BROS DISCOVERY INC COM SER A,48870,4500,934423,30-SEP-2023,"Russell Investments Group, Ltd.","1301 Second Avenue, 18th Floor, Seattle, WA, 98101"
1437107,934423104,0001218210-23-000010,WARNER BROS DISCOVERY INC,1812982,166100,934423,30-SEP-2023,NORDEA INVESTMENT MANAGEMENT AB,"M 540, STOCKHOLM, V7, SE-10571"
1437107,934423104,0001214659-23-014828,WARNER BROS DISCOVERY INC,1983264,182621,934423,30-SEP-2023,"Mraz, Amerine & Associates, Inc.","1120 13th Street,, Ste C, Modesto, CA, 95354"
1437107,934423104,0001214659-23-014822,WARNER BROS DISCOVERY INC,19087141,1757564,934423,30-SEP-2023,ENVESTNET ASSET MANAGEMENT INC,"1000 Chesterbrook Boulevard, Suite 250, Berwyn, PA, 19312"
1437107,934423104,0001214659-23-014823,WARNER BROS DISCOVERY INC,454024,41807,934423,30-SEP-2023,"Envestnet Portfolio Solutions, Inc.","1000 CHESTERBROOK BLVD, SUITE 250, BERWYN, PA, 19312"
1437107,934423104,0001214659-23-014829,WARNER BROS DISCOVERY INC,519494,47836,934423,30-SEP-2023,"QRG CAPITAL MANAGEMENT, INC.","1000 CHESTERBROOK BLVD, BERWYN, PA, 19312"
1437107,934423104,0000950123-23-009909,WARNER BROS DISCOVERY INC,69713500,6419291,934423,30-SEP-2023,Korea Investment CORP,"17F 18F 19F STATE TOWER NAMSAN, 100 TOEGYE-RO, JUNG-GU, SEOUL, M5, 04631"
